Month,Audience Name,Ad name,Reach,Impressions,"CPM (cost per 1,000 impressions)",Amount spent (USD),REG/VIN Entry,Car Rejected,Cost per Car Rejected,Car Accepted,Cost per Car Accepted,Post engagements,CTR (all),Link clicks,Landing page views
2025-03-01 - 2025-03-27,Broad ADV+,MAX Value | Broad | 16.01.2025,4925,11162,22.01,245.71,33,2.0,122.86,19,12.93,93,0.0125,83,41
2025-03-01 - 2025-03-27,Parents,UGC | Parents | 16.01.2025,1835,3175,21.34,67.74,4,,,3,22.58,623,0.011000000000000001,21,10
2025-03-01 - 2025-03-27,Broad ADV+,UGC | Broad | 16.01.2025,2246,4382,19.98,87.56,8,,,4,21.89,765,0.0087,26,12
2025-03-01 - 2025-03-27,Broad ADV+,Ready to Sell | Broad | 18.02.2025,1242,2785,28.1,78.26,10,1.0,78.26,6,13.04,452,0.0104,19,14
2025-03-01 - 2025-03-27,Parents,Ready to Sell | Parents | 18.02.2025,1117,2393,35.6,85.2,4,,,3,28.4,394,0.0138,21,8
2025-03-01 - 2025-03-27,Parents,MAX Value | Parents | 16.01.2025,2754,4869,22.37,108.91,21,3.0,36.3,10,10.89,39,0.0105,38,24
2025-02-01 - 2025-02-28,Broad ADV+,Sold | Broad | 16.01.2025,4323,6850,15.62,107.0,9,,,4,26.75,58,0.0218,54,32
2025-02-01 - 2025-02-28,Broad ADV+,Ready to Sell | Broad | 18.02.2025,314,558,43.84,24.46,2,,,1,24.46,97,0.0125,4,1
2025-02-01 - 2025-02-28,Broad ADV+,UGC | Broad | 16.01.2025,3859,6869,25.38,174.35,15,2.0,87.18,10,17.44,1274,0.0098,40,21
2025-02-01 - 2025-02-28,Parents,UGC | Parents | 16.01.2025,2689,4558,26.7,121.72,16,1.0,121.72,14,8.69,802,0.0108,30,19
2025-02-01 - 2025-02-28,Parents,Sold | Parents | 16.01.2025,3449,5096,15.77,80.34,11,2.0,40.17,2,40.17,49,0.0204,48,20
2025-02-01 - 2025-02-28,Parents,MAX Value | Parents | 16.01.2025,1828,3357,32.48,109.04,17,1.0,109.04,13,8.39,40,0.0151,38,23
2025-02-01 - 2025-02-28,Parents,Ready to Sell | Parents | 18.02.2025,671,1321,37.31,49.29,4,,,5,9.86,220,0.0182,15,8
2025-02-01 - 2025-02-28,Broad ADV+,MAX Value | Broad | 16.01.2025,2530,4827,29.5,142.38,21,1.0,142.38,15,9.49,42,0.013500000000000002,40,18
2025-01-01 - 2025-01-31,Broad ADV+,UGC | Broad | 16.01.2025,3369,5677,21.31,120.96,11,1.0,120.96,10,12.1,998,0.0072,25,10
2025-01-01 - 2025-01-31,Parents,Sold | Parents | 16.01.2025,8222,14181,12.87,182.56,14,,,7,26.08,120,0.0236,112,57
2025-01-01 - 2025-01-31,Parents,MAX Value | Parents | 16.01.2025,1234,2084,22.66,47.23,3,,,2,23.62,15,0.013000000000000001,13,7
2025-01-01 - 2025-01-31,Broad ADV+,Sold | Broad | 16.01.2025,11407,22543,12.77,287.85,20,1.0,287.85,16,17.99,203,0.023700000000000002,195,90
2025-01-01 - 2025-01-31,Broad ADV+,MAX Value | Broad | 16.01.2025,2147,4405,20.91,92.13,11,,,6,15.36,29,0.0098,27,17
2025-01-01 - 2025-01-31,Parents,UGC | Parents | 16.01.2025,2021,3339,26.49,88.45,5,,,5,17.69,662,0.009000000000000001,21,8
